"full_name","html_url","description","language","topics","stargazers_count","created_at"
"shwanoff/CrmModelShop","https://github.com/shwanoff/CrmModelShop",,"C#","","15","15.04.2019 18:52:54"
"rheech/turing-machine-sim","https://github.com/rheech/turing-machine-sim","A turing machine simulator","C#","","2","30.01.2016 15:16:12"
"rheech/IpcPythonCS","https://github.com/rheech/IpcPythonCS","Interprocess communication between C# and Python","C#","","6","03.11.2016 15:36:03"
"aalhour/C-Sharp-Algorithms","https://github.com/aalhour/C-Sharp-Algorithms",":books: :chart_with_upwards_trend: Plug-and-play class-library project of standard Data Structures and Algorithms in C#","C#","algorithms;binary-trees;csharp;data-structures;graph;graph-algorithms;hashing;hashing-algorithms;heaps;queues;searching;searching-algorithms;sorting;sorting-algorithms;tree;tree-algorithms","6159","14.05.2015 11:56:48"
"dotnet/machinelearning-samples","https://github.com/dotnet/machinelearning-samples","Samples for ML.NET, an open source and cross-platform machine learning framework for .NET.","PowerShell","algorithms;csharp;dotnet;machine-learning;ml","4683","25.05.2018 18:43:54"
"bitcldr/design-patterns","https://github.com/bitcldr/design-patterns","Design patterns","C#","bridge-pattern;csharp;decorator-pattern;design-pattern;design-patterns;dotnet;facade-pattern;factory-pattern;iterator-pattern;patterns;proxy-pattern;strategy-pattern","4","27.01.2016 11:36:12"
"xceedsoftware/wpftoolkit","https://github.com/xceedsoftware/wpftoolkit","All the controls missing in WPF. Over 1 million downloads.","C#","controls;datagrid;datagrid-component;theme;wpf;xaml","4139","13.06.2017 17:58:53"
"dotnet/ef6","https://github.com/dotnet/ef6","This is the codebase for Entity Framework 6 (previously maintained at https://entityframework.codeplex.com). Entity Framework Core is maintained at https://github.com/dotnet/efcore.","C#","database;dotnet-framework;ef6;entity-framework;entity-framework-6;orm","1449","31.07.2015 3:47:23"
"wieslawsoltes/Core2D","https://github.com/wieslawsoltes/Core2D","A multi-platform data driven 2D diagram editor.","C#","avalonia;avaloniaui;c-sharp;data;diagram;editor;graphics;gui;multi-platform;shapes;wysiwyg-editor;xaml","1169","10.10.2015 9:27:44"
"dotnet/reactive","https://github.com/dotnet/reactive","The Reactive Extensions for .NET","C#","","7145","03.09.2013 22:33:51"
"goabstract/Awesome-Design-Tools","https://github.com/goabstract/Awesome-Design-Tools","The best design tools and plugins for everything 👉","JavaScript","animations;awesome;awesome-list;design;design-systems;design-tools;font-awesome;ui-design","39923","12.02.2019 13:55:30"
"hackerkid/Mind-Expanding-Books","https://github.com/hackerkid/Mind-Expanding-Books"," :books: Find your next book to read!","JavaScript","awesome;awesome-list;biographies;books;computer-science;economics;fiction;hacktoberfest;hacktoberfest2020;history;mind-expanding-books;philosophy;politics;psychology;sexuality;startups;theater","13730","30.05.2015 10:48:21"
"sidristij/InteropDotNet","https://github.com/sidristij/InteropDotNet","Cross-platform AnyCPU P/Invoke for .NET","C#","","1","09.12.2014 7:17:16"
"sidristij/dotnetbook","https://github.com/sidristij/dotnetbook",".NET Platform Architecture book (English, Chinese, Russian)","C#","book;c-sharp;chinese;clr;clr-book;coreclr;corefx;csharp;dotnet;dotnet-core;dotnetcore;english;jit;runtime;russian","2506","03.11.2017 6:53:46"
